Time	X1	X2	X3
0	-1.431	0	0
0.01	-1.395	0.04748	0.049879
0.02	-1.3597	0.094842	0.099434
0.03	-1.325	0.14197	0.14854
0.04	-1.291	0.18874	0.19708
0.05	-1.2576	0.23503	0.24493
0.06	-1.2249	0.28074	0.29197
0.07	-1.1927	0.32575	0.3381
0.08	-1.1612	0.36995	0.38319
0.09	-1.1303	0.41322	0.42714
0.1	-1.1	0.45545	0.46984
0.11	-1.0703	0.49655	0.51119
0.12	-1.0412	0.53641	0.55109
0.13	-1.0127	0.57493	0.58945
0.14	-0.98474	0.61201	0.62618
0.15	-0.95738	0.64756	0.66119
0.16	-0.93058	0.68149	0.6944
0.17	-0.90436	0.71372	0.72574
0.18	-0.87869	0.74416	0.75513
0.19	-0.85357	0.77274	0.78251
0.2	-0.829	0.7994	0.80781
0.21	-0.80497	0.82405	0.83099
0.22	-0.78147	0.84665	0.85199
0.23	-0.7585	0.86713	0.87078
0.24	-0.73606	0.88544	0.8873
0.25	-0.71413	0.90154	0.90154
0.26	-0.6927	0.91538	0.91345
0.27	-0.67179	0.92694	0.92303
0.28	-0.65137	0.93618	0.93026
0.29	-0.63144	0.94308	0.93514
0.3	-0.612	0.94762	0.93765
0.31	-0.59304	0.94979	0.9378
0.32	-0.57455	0.94959	0.9356
0.33	-0.55653	0.94702	0.93107
0.34	-0.53898	0.94208	0.92423
0.35	-0.52187	0.93479	0.91511
0.36	-0.50522	0.92516	0.90373
0.37	-0.48902	0.91321	0.89014
0.38	-0.47325	0.89899	0.87438
0.39	-0.45791	0.88251	0.8565
0.4	-0.443	0.86383	0.83655
0.41	-0.42851	0.84299	0.8146
0.42	-0.41443	0.82005	0.7907
0.43	-0.40076	0.79505	0.76493
0.44	-0.3875	0.76807	0.73735
0.45	-0.37463	0.73917	0.70805
0.46	-0.36214	0.70842	0.6771
0.47	-0.35005	0.6759	0.64459
0.48	-0.33833	0.64169	0.61062
0.49	-0.32698	0.60588	0.57526
0.5	-0.316	0.56855	0.53862
0.51	-0.30538	0.5298	0.5008
0.52	-0.29511	0.48973	0.46189
0.53	-0.28519	0.44843	0.422
0.54	-0.27562	0.40601	0.38122
0.55	-0.26638	0.36258	0.33968
0.56	-0.25746	0.31824	0.29747
0.57	-0.24888	0.2731	0.25471
0.58	-0.24061	0.22729	0.2115
0.59	-0.23265	0.1809	0.16795
0.6	-0.225	0.13406	0.12419
0.61	-0.21765	0.086891	0.080306
0.62	-0.21059	0.039502	0.036425
0.63	-0.20382	-0.0079869	-0.0073479
0.64	-0.19734	-0.055455	-0.050902
