Time	4FF	3FF	
0	0	0	
0.0024	0	0	
0.0048	0	0	
0.0072	0	0	
0.0096	0	0	
0.012	0	0	
0.0144	0	0	
0.0168	0	0	
0.0192	0	0	
0.0216	0	0	
0.024	0	0	
0.0264	0	0	
0.0288	0	0	
0.0312	0	0	
0.0336	0	0	
0.036	0	0	
0.0384	0	0	
0.0408	0	0	
0.0432	0	0	
0.0456	0	0	
0.048	0	0	
0.0504	0	0	
0.0528	0	0	
0.0552	0	0	
0.0576	0	0	
0.06	0	0	
0.0624	0	0	
0.0648	0	0	
0.0672	0	0	
0.0696	0	0	
0.072	0	0	
0.0744	0	0	
0.0768	0	0	
0.0792	0	0	
0.0816	0	0	
0.084	0	0	
0.08639999	0	0	
0.0888	0	0	
0.09119999	0	0	
0.0936	0	0	
0.096	0	0	
0.0984	0	0	
0.1008	0	0	
0.1032	0	0	
0.1056	0	0	
0.108	0	0	
0.1104	0	0	
0.1128	0	0	
0.1152	0	0	
0.1176	0	0	
0.12	0	0	
0.1224	0	0	
0.1248	0	0	
0.1272	0	0	
0.1296	0	0	
0.132	0	0	
0.1344	0	0	
0.1368	0	0	
0.1392	0	0	
0.1416	0	0	
0.144	0	0	
0.1464	0	0	
0.1488	0	0	
0.1512	0	0	
0.1536	0	0	
0.156	0	0	
0.1584	0	0	
0.1608	0	0	
0.1632	0	0	
0.1656	0	0	
0.168	0	0	
0.1704	0	0	
0.1728	0	0	
0.1752	0	0	
0.1776	0	0	
0.18	0	0	
0.1824	0	0	
0.1848	0	0	
0.1872	0	0	
0.1896	0	0	
0.192	0	0	
0.1944	0	0	
0.1968	0	0	
0.1992	0	0	
0.2016	0	0	
0.204	0	0	
0.2064	0	0	
0.2088	0	0	
0.2112	0	0	
0.2136	0	0	
0.216	0	0	
0.2184	0	0	
0.2208	0	0	
0.2232	0	0	
0.2256	0	0	
0.228	0	0	
0.2304	0	0	
0.2328	0	0	
0.2352	0	0	
0.2376	0	0	
0.24	0	0	
0.2424	0	0	
0.2448	0	0	
0.2472	0	0	
0.2496	0	0	
0.252	0	0	
0.2544	0	0	
0.2568	0	0	
0.2592	0	0	
0.2616	0	0	
0.264	0	0	
0.2664	0	0	
0.2688	0	0	
0.2712	0	0	
0.2736	0	0	
0.276	0	0	
0.2784	0	0	
0.2808	0	0	
0.2832	0	0	
0.2856	0	0	
0.288	0	0	
0.2904	0	0	
0.2928	0	0	
0.2952	0	0	
0.2976	0	0	
0.3	0	0	
0.3024	0	0	
0.3048	0	0	
0.3072	0	0	
0.3096	0	0	
0.312	0	0	
0.3144	0	0	
0.3168	0	0	
0.3192	0	0	
0.3216	0	0	
0.324	0	0	
0.3264	0	0	
0.3288	0	0	
0.3312	0	0	
0.3336	0	0	
0.336	0	0	
0.3384	0	0	
0.3408	0	0	
0.3432	0	0	
0.3456	0	0	
0.348	0	0	
0.3504	0	0	
0.3528	0	0	
0.3552	0	0	
0.3576	0	0	
0.36	0	0	
0.3624	0	0	
0.3648	0	0	
0.3672	0	0	
0.3696	0	0	
0.372	0	0	
0.3744	0	0	
0.3768	0	0	
0.3792	0	0	
0.3816	0	0	
0.384	0	0	
0.3864	0	0	
0.3888	0	0	
0.3912	0	0	
0.3936	0	0	
0.396	0	0	
0.3984	0	0	
0.4008	0	0	
0.4032	0	0	
0.4056	0	0	
0.408	0	0	
0.4104	0	0	
0.4128	0	0	
0.4152	0	0	
