TestName,RootRotX,RootRotY,RootRotZ,RootOrientation,ChildRotX,ChildRotY,ChildRotZ,ChildOrientation,RootX,RootY,RootZ,Child1X,Child1Y,Child1Z,Child2X,Child2Y,Child2Z,DataPrefix
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,-160,0,"-0.9396926,0,0.3420202,0,0,1,0,0,-0.3420202,0,-0.9396926,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.086163037,0.096833102,0.169035316,0.02436058,-0.020739943,0.069752701,Root_-160_0_-160_Child_00_-160_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,-160,80,"-0.163176,-0.9254165,0.3420202,0,-0.9848077,0.1736482,0,0,-0.0593912,-0.3368241,-0.9396926,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.116233341,0.003348166,0.204752356,0.040093701,0.018668858,0.058232632,Root_-160_0_-160_Child_800_-160_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,-160,160,"0.8830222,-0.3213939,0.3420202,0,-0.3420202,-0.9396926,0,0,0.3213939,-0.1169778,-0.9396926,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.023637651,-0.044827513,0.209702641,0.082941525,0.012279565,0.065751813,Root_-160_0_-160_Child_1600_-160_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,-80,0,"0.1736482,0,0.9848077,0,0,1,0,0,-0.9848077,0,0.1736482,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.074325666,0.06056571,0.08652427,-0.049065303,-0.006942484,0.174372524,Root_-160_0_-160_Child_00_-80_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,-80,80,"0.0301537,0.1710101,0.9848077,0,-0.9848077,0.1736482,0,0,-0.1710101,-0.9698462,0.1736482,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.115218818,-0.005809797,0.114316635,-0.003763607,0.106530622,0.141201809,Root_-160_0_-160_Child_800_-80_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,-80,160,"-0.163176,0.0593912,0.9848077,0,-0.3420202,-0.9396926,0,0,0.9254165,-0.3368241,0.1736482,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.052098271,-0.058380689,0.124439359,0.119611733,0.088133372,0.162852451,Root_-160_0_-160_Child_1600_-80_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,0,0,"1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,-0.011697781,0.032139391,0.093969263,0.033809867,0.053298365,0.252024174,Root_-160_0_-160_Child_00_0_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,0,80,"0.1736482,0.9848077,0,0,-0.9848077,0.1736482,0,0,0,0,1,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.07085254,0.070108049,0.091259509,0.033809867,0.053298373,0.252024174,Root_-160_0_-160_Child_800_0_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",0,0,160,"-0.9396926,0.3420202,0,0,-0.3420202,-0.9396926,0,0,0,0,1,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.121181764,0.000619976,0.121291079,0.033809867,0.053298365,0.252024174,Root_-160_0_-160_Child_1600_0_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,-160,0,"-0.9396926,0,0.3420202,0,-0.3368241,0.1736482,-0.9254165,0,-0.0593912,-0.9848077,-0.163176,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.116943263,0.020187953,0.207003981,0.010184375,0.100844018,0.109038971,Root_-160_0_-160_Child_080_-160_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,-160,80,"-0.163176,-0.9254165,0.3420202,0,-0.229499,-0.3015533,-0.9254165,0,0.9595331,-0.229499,-0.163176,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.037912417,-0.040842395,0.218039423,0.130207106,0.068997853,0.134872064,Root_-160_0_-160_Child_8080_-160_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,-160,160,"0.8830222,-0.3213939,0.3420202,0,0.25712,-0.2783766,-0.9254165,0,0.3926336,0.9051036,-0.163176,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,-0.035782482,0.020424953,0.18791084,0.113401406,-0.050579187,0.173677757,Root_-160_0_-160_Child_16080_-160_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,-80,0,"0.1736482,0,0.9848077,0,-0.9698462,0.1736482,0.1710101,0,-0.1710101,-0.9848077,0.0301537,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.110923268,-0.017172573,0.11620412,-0.0025659,0.103239931,0.127206013,Root_-160_0_-160_Child_080_-80_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,-80,80,"0.0301537,0.1710101,0.9848077,0,-0.3394222,-0.9249584,0.1710101,0,0.9401506,-0.3394222,0.0301537,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.040372632,-0.056961466,0.121030211,0.122591354,0.084254883,0.14927952,Root_-160_0_-160_Child_8080_-80_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,-80,160,"-0.163176,0.0593912,0.9848077,0,0.8519661,-0.494883,0.1710101,0,0.4975211,0.8669276,0.0301537,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,-0.010227171,0.000862026,0.094954491,0.119769134,-0.037407305,0.190539092,Root_-160_0_-160_Child_16080_-80_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,0,0,"1,0,0,0,0,0.1736482,0.9848077,0,0,-0.9848077,0.1736482,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.018333783,-0.050371654,0.11749693,0.011825231,0.113700651,0.140690088,Root_-160_0_-160_Child_080_0_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,0,80,"0.1736482,0.9848077,0,0,-0.1710101,0.0301537,0.9848077,0,0.9698462,-0.1710101,0.1736482,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,-0.006970528,0.023173872,0.089192875,0.129115924,0.075011209,0.168523595,Root_-160_0_-160_Child_8080_0_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",80,0,160,"-0.9396926,0.3420202,0,0,-0.0593912,-0.163176,0.9848077,0,0.3368241,0.9254165,0.1736482,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.065654218,0.062622599,0.084741317,0.104869783,-0.043456342,0.206023619,Root_-160_0_-160_Child_16080_0_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,-160,0,"-0.9396926,0,0.3420202,0,-0.1169778,-0.9396926,-0.3213939,0,0.3213939,-0.3420202,0.8830222,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.105936423,-0.037377443,0.137515903,0.05438707,0.090732247,0.229334071,Root_-160_0_-160_Child_0160_-160_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,-160,80,"-0.163176,-0.9254165,0.3420202,0,0.9051036,-0.2783766,-0.3213939,0,0.3926336,0.25712,0.8830222,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.012698799,-0.054561187,0.131786391,0.080337413,0.040263381,0.24982588,Root_-160_0_-160_Child_80160_-160_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,-160,160,"0.8830222,-0.3213939,0.3420202,0,0.4313171,0.8430134,-0.3213939,0,-0.1850336,0.4313171,0.8830222,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,-0.01758042,0.029398574,0.099301152,0.031653035,0.005123994,0.255783767,Root_-160_0_-160_Child_160160_-160_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,-80,0,"0.1736482,0,0.9848077,0,-0.3368241,-0.9396926,0.0593912,0,0.9254165,-0.3420202,-0.163176,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.035443794,-0.062622912,0.138578966,0.123384833,0.077766858,0.131023601,Root_-160_0_-160_Child_0160_-80_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,-80,80,"0.0301537,0.1710101,0.9848077,0,0.8669276,-0.494883,0.0593912,0,0.4975211,0.8519661,-0.163176,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,-0.02335052,0.00646801,0.107629441,0.1215498,-0.042299669,0.171860367,Root_-160_0_-160_Child_80160_-80_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,-80,160,"-0.163176,0.0593912,0.9848077,0,0.637905,0.7678216,0.0593912,0,-0.7526293,0.637905,-0.163176,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.040173706,0.076440163,0.09160538,-0.002805695,-0.066155277,0.164539024,Root_-160_0_-160_Child_160160_-80_160_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,0,0,"1,0,0,0,0,-0.9396926,0.3420202,0,0,-0.3420202,-0.9396926,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.015624031,-0.04292665,0.20805493,0.045507651,0.021158982,0.058054913,Root_-160_0_-160_Child_0160_0_0_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,0,80,"0.1736482,0.9848077,0,0,0.9254165,-0.163176,0.3420202,0,0.3368241,-0.0593912,-0.9396926,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,-0.037701752,0.039862018,0.173101261,0.086242296,0.00772228,0.067721397,Root_-160_0_-160_Child_80160_0_80_
BodyBoxRotationTest,-160,0,-160,"-0.9396926,-0.3420202,0,0,-0.3213939,0.8830222,-0.3420202,0,0.1169778,-0.3213939,-0.9396926,0,0,0,0,1",160,0,160,"-0.9396926,0.3420202,0,0,0.3213939,0.8830222,0.3420202,0,0.1169778,0.3213939,-0.9396926,0,0,0,0,1",-0.057205435,0.010980405,-0.06408564,0.040715549,0.107613377,0.159690708,0.077821694,-0.033421069,0.080745004,Root_-160_0_-160_Child_160160_0_160_
BodyBoxRotationTest,-160,0,-80,"0.1736482,-0.9848077,0,0,-0.9254165,-0.163176,-0.3420202,0,0.3368241,0.0593912,-0.9396926,0,0,0,0,1",0,-160,0,"-0.9396926,0,0.3420202,0,0,1,0,0,-0.3420202,0,-0.9396926,0,0,0,0,1",-0.020747207,-0.054429621,-0.06408564,-0.080399923,0.101668909,0.169035316,0.024655029,0.020389035,0.069752701,Root_-160_0_-80_Child_00_-160_0_
BodyBoxRotationTest,-160,0,-80,"0.1736482,-0.9848077,0,0,-0.9254165,-0.163176,-0.3420202,0,0.3368241,0.0593912,-0.9396926,0,0,0,0,1",0,-160,80,"-0.163176,-0.9254165,0.3420202,0,-0.9848077,0.1736482,0,0,-0.0593912,-0.3368241,-0.9396926,0,0,0,0,1",-0.020747207,-0.054429621,-0.06408564,0.016886419,0.115048885,0.204752356,-0.011423036,0.042726398,0.058232632,Root_-160_0_-80_Child_800_-160_80_
