TimeSlice	Time	
0	0	
1	0.0005	
2	0.001	
3	0.0015	
4	0.002	
5	0.0025	
6	0.003	
7	0.0035	
8	0.004	
9	0.0045	
10	0.005	
11	0.0055	
12	0.006	
13	0.0065	
14	0.007	
15	0.0075	
16	0.008	
17	0.0085	
18	0.009	
19	0.0095	
20	0.01	
21	0.0105	
22	0.011	
23	0.0115	
24	0.012	
25	0.0125	
26	0.013	
27	0.0135	
28	0.014	
29	0.0145	
30	0.015	
31	0.0155	
32	0.016	
33	0.0165	
34	0.017	
35	0.0175	
36	0.018	
37	0.0185	
38	0.019	
39	0.0195	
40	0.02	
41	0.0205	
42	0.021	
43	0.0215	
44	0.022	
45	0.0225	
46	0.023	
47	0.0235	
48	0.024	
49	0.0245	
50	0.025	
51	0.0255	
52	0.026	
53	0.0265	
54	0.027	
55	0.0275	
56	0.028	
57	0.0285	
58	0.029	
59	0.0295	
60	0.03	
61	0.0305	
62	0.031	
63	0.0315	
64	0.032	
65	0.0325	
66	0.033	
67	0.0335	
68	0.034	
69	0.0345	
70	0.035	
71	0.0355	
72	0.036	
73	0.0365	
74	0.037	
75	0.0375	
76	0.038	
77	0.0385	
78	0.039	
79	0.0395	
80	0.04	
81	0.0405	
82	0.041	
83	0.0415	
84	0.042	
85	0.0425	
86	0.043	
87	0.0435	
88	0.044	
89	0.0445	
90	0.045	
91	0.0455	
92	0.046	
93	0.0465	
94	0.047	
95	0.0475	
96	0.048	
97	0.0485	
98	0.049	
99	0.0495	
100	0.05	
101	0.0505	
102	0.051	
103	0.0515	
104	0.052	
105	0.0525	
106	0.053	
107	0.0535	
108	0.054	
109	0.0545	
110	0.055	
111	0.0555	
112	0.056	
113	0.0565	
114	0.057	
115	0.0575	
116	0.058	
117	0.0585	
118	0.059	
119	0.0595	
120	0.06	
121	0.0605	
122	0.061	
123	0.0615	
124	0.062	
125	0.0625	
126	0.063	
127	0.0635	
128	0.064	
129	0.0645	
130	0.065	
131	0.0655	
132	0.066	
133	0.0665	
134	0.067	
135	0.0675	
136	0.068	
137	0.0685	
138	0.069	
139	0.0695	
140	0.07	
141	0.0705	
142	0.071	
143	0.0715	
144	0.072	
145	0.0725	
146	0.073	
147	0.0735	
148	0.074	
149	0.0745	
150	0.075	
151	0.0755	
152	0.076	
153	0.0765	
154	0.077	
155	0.0775	
156	0.078	
157	0.0785	
158	0.079	
159	0.0795	
160	0.08	
161	0.0805	
162	0.081	
163	0.0815	
164	0.082	
165	0.0825	
166	0.083	
167	0.0835	
168	0.084	
169	0.0845	
170	0.085	
171	0.0855	
172	0.086	
173	0.0865	
174	0.087	
175	0.0875	
176	0.088	
177	0.0885	
178	0.089	
179	0.0895	
180	0.09	
181	0.0905	
182	0.091	
183	0.0915	
184	0.092	
185	0.0925	
186	0.093	
187	0.0935	
188	0.094	
189	0.0945	
190	0.095	
191	0.0955	
192	0.096	
193	0.0965	
194	0.097	
195	0.0975	
196	0.098	
197	0.0985	
198	0.099	
199	0.0995	
200	0.1	
201	0.1005	
202	0.101	
203	0.1015	
204	0.102	
205	0.1025	
206	0.103	
207	0.1035	
208	0.104	
209	0.1045	
210	0.105	
211	0.1055	
212	0.106	
213	0.1065	
214	0.107	
215	0.1075	
216	0.108	
217	0.1085	
218	0.109	
219	0.1095	
220	0.11	
221	0.1105	
222	0.111	
223	0.1115	
224	0.112	
225	0.1125	
226	0.113	
227	0.1135	
228	0.114	
229	0.1145	
230	0.115	
231	0.1155	
232	0.116	
233	0.1165	
234	0.117	
235	0.1175	
236	0.118	
237	0.1185	
238	0.119	
239	0.1195	
240	0.12	
241	0.1205	
242	0.121	
243	0.1215	
244	0.122	
245	0.1225	
246	0.123	
247	0.1235	
248	0.124	
249	0.1245	
250	0.125	
251	0.1255	
252	0.126	
253	0.1265	
254	0.127	
255	0.1275	
256	0.128	
257	0.1285	
258	0.129	
259	0.1295	
260	0.13	
261	0.1305	
262	0.131	
263	0.1315	
264	0.132	
265	0.1325	
266	0.133	
267	0.1335	
268	0.134	
269	0.1345	
270	0.135	
271	0.1355	
272	0.136	
273	0.1365	
274	0.137	
275	0.1375	
276	0.138	
277	0.1385	
278	0.139	
279	0.1395	
280	0.14	
281	0.1405	
282	0.141	
283	0.1415	
284	0.142	
285	0.1425	
286	0.143	
287	0.1435	
288	0.144	
289	0.1445	
290	0.145	
291	0.1455	
292	0.146	
293	0.1465	
294	0.147	
295	0.1475	
296	0.148	
297	0.1485	
298	0.149	
299	0.1495	
300	0.15	
301	0.1505	
302	0.151	
303	0.1515	
304	0.152	
305	0.1525	
306	0.153	
307	0.1535	
308	0.154	
309	0.1545	
310	0.155	
311	0.1555	
312	0.156	
313	0.1565	
314	0.157	
315	0.1575	
316	0.158	
317	0.1585	
318	0.159	
319	0.1595	
320	0.16	
321	0.1605	
322	0.161	
323	0.1615	
324	0.162	
325	0.1625	
326	0.163	
327	0.1635	
328	0.164	
329	0.1645	
330	0.165	
331	0.1655	
332	0.166	
333	0.1665	
334	0.167	
335	0.1675	
336	0.168	
337	0.1685	
338	0.169	
339	0.1695	
340	0.17	
341	0.1705	
342	0.171	
343	0.1715	
344	0.172	
345	0.1725	
346	0.173	
347	0.1735	
348	0.174	
349	0.1745	
350	0.175	
351	0.1755	
352	0.176	
353	0.1765	
354	0.177	
355	0.1775	
356	0.178	
357	0.1785	
358	0.179	
359	0.1795	
360	0.18	
361	0.1805	
362	0.181	
363	0.1815	
364	0.182	
365	0.1825	
366	0.183	
367	0.1835	
368	0.184	
369	0.1845	
370	0.185	
371	0.1855	
372	0.186	
373	0.1865	
374	0.187	
375	0.1875	
376	0.188	
377	0.1885	
378	0.189	
379	0.1895	
380	0.19	
381	0.1905	
382	0.191	
383	0.1915	
384	0.192	
385	0.1925	
386	0.193	
387	0.1935	
388	0.194	
389	0.1945	
390	0.195	
391	0.1955	
392	0.196	
393	0.1965	
394	0.197	
395	0.1975	
396	0.198	
397	0.1985	
398	0.199	
399	0.1995	
400	0.2	
401	0.2005	
402	0.201	
403	0.2015	
404	0.202	
405	0.2025	
406	0.203	
407	0.2035	
408	0.204	
409	0.2045	
410	0.205	
411	0.2055	
412	0.206	
413	0.2065	
414	0.207	
415	0.2075	
416	0.208	
417	0.2085	
418	0.209	
419	0.2095	
420	0.21	
421	0.2105	
422	0.211	
423	0.2115	
424	0.212	
425	0.2125	
426	0.213	
427	0.2135	
428	0.214	
429	0.2145	
430	0.215	
431	0.2155	
432	0.216	
433	0.2165	
434	0.217	
435	0.2175	
436	0.218	
437	0.2185	
438	0.219	
439	0.2195	
440	0.22	
441	0.2205	
442	0.221	
443	0.2215	
444	0.222	
445	0.2225	
446	0.223	
447	0.2235	
448	0.224	
449	0.2245	
450	0.225	
451	0.2255	
452	0.226	
453	0.2265	
454	0.227	
455	0.2275	
456	0.228	
457	0.2285	
458	0.229	
459	0.2295	
460	0.23	
461	0.2305	
462	0.231	
463	0.2315	
464	0.232	
465	0.2325	
466	0.233	
467	0.2335	
468	0.234	
469	0.2345	
470	0.235	
471	0.2355	
472	0.236	
473	0.2365	
474	0.237	
475	0.2375	
476	0.238	
477	0.2385	
478	0.239	
479	0.2395	
480	0.24	
481	0.2405	
482	0.241	
483	0.2415	
484	0.242	
485	0.2425	
486	0.243	
487	0.2435	
488	0.244	
489	0.2445	
490	0.245	
491	0.2455	
492	0.246	
493	0.2465	
494	0.247	
495	0.2475	
496	0.248	
497	0.2485	
498	0.249	
499	0.2495	
500	0.25	
501	0.2505	
502	0.251	
503	0.2515	
504	0.252	
505	0.2525	
506	0.253	
507	0.2535	
508	0.254	
509	0.2545	
510	0.255	
511	0.2555	
512	0.256	
513	0.2565	
514	0.257	
515	0.2575	
516	0.258	
517	0.2585	
518	0.259	
519	0.2595	
520	0.26	
521	0.2605	
522	0.261	
523	0.2615	
524	0.262	
525	0.2625	
526	0.263	
527	0.2635	
528	0.264	
529	0.2645	
530	0.265	
531	0.2655	
532	0.266	
533	0.2665	
534	0.267	
535	0.2675	
536	0.268	
537	0.2685	
538	0.269	
539	0.2695	
540	0.27	
541	0.2705	
542	0.271	
543	0.2715	
544	0.272	
545	0.2725	
546	0.273	
547	0.2735	
548	0.274	
549	0.2745	
550	0.275	
551	0.2755	
552	0.276	
553	0.2765	
554	0.277	
555	0.2775	
556	0.278	
557	0.2785	
558	0.279	
559	0.2795	
560	0.28	
561	0.2805	
562	0.281	
563	0.2815	
564	0.282	
565	0.2825	
566	0.283	
567	0.2835	
568	0.284	
569	0.2845	
570	0.285	
571	0.2855	
572	0.286	
573	0.2865	
574	0.287	
575	0.2875	
576	0.288	
577	0.2885	
578	0.289	
579	0.2895	
580	0.29	
581	0.2905	
582	0.291	
583	0.2915	
584	0.292	
585	0.2925	
586	0.293	
587	0.2935	
588	0.294	
589	0.2945	
590	0.295	
591	0.2955	
592	0.296	
593	0.2965	
594	0.297	
595	0.2975	
596	0.298	
597	0.2985	
598	0.299	
599	0.2995	
600	0.3	
601	0.3005	
602	0.301	
603	0.3015	
604	0.302	
605	0.3025	
606	0.303	
607	0.3035	
608	0.304	
609	0.3045	
610	0.305	
611	0.3055	
612	0.306	
613	0.3065	
614	0.307	
615	0.3075	
616	0.308	
617	0.3085	
618	0.309	
619	0.3095	
620	0.31	
621	0.3105	
622	0.311	
623	0.3115	
624	0.312	
625	0.3125	
626	0.313	
627	0.3135	
628	0.314	
629	0.3145	
630	0.315	
631	0.3155	
632	0.316	
633	0.3165	
634	0.317	
635	0.3175	
636	0.318	
637	0.3185	
638	0.319	
639	0.3195	
640	0.32	
641	0.3205	
642	0.321	
643	0.3215	
644	0.322	
645	0.3225	
646	0.323	
647	0.3235	
648	0.324	
649	0.3245	
650	0.325	
651	0.3255	
652	0.326	
653	0.3265	
654	0.327	
655	0.3275	
656	0.328	
657	0.3285	
658	0.329	
659	0.3295	
660	0.33	
661	0.3305	
662	0.331	
663	0.3315	
664	0.332	
665	0.3325	
666	0.333	
667	0.3335	
668	0.334	
669	0.3345	
670	0.335	
671	0.3355	
672	0.336	
673	0.3365	
674	0.337	
675	0.3375	
676	0.338	
677	0.3385	
678	0.339	
679	0.3395	
680	0.34	
681	0.3405	
682	0.341	
683	0.3415	
684	0.342	
685	0.3425	
686	0.343	
687	0.3435	
688	0.344	
689	0.3445	
690	0.345	
691	0.3455	
692	0.346	
693	0.3465	
694	0.347	
695	0.3475	
696	0.348	
697	0.3485	
698	0.349	
699	0.3495	
700	0.35	
701	0.3505	
702	0.351	
703	0.3515	
704	0.352	
705	0.3525	
706	0.353	
707	0.3535	
708	0.354	
709	0.3545	
710	0.355	
711	0.3555	
712	0.356	
713	0.3565	
714	0.357	
715	0.3575	
716	0.358	
717	0.3585	
718	0.359	
719	0.3595	
720	0.36	
721	0.3605	
722	0.361	
723	0.3615	
724	0.362	
725	0.3625	
726	0.363	
727	0.3635	
728	0.364	
729	0.3645	
730	0.365	
731	0.3655	
732	0.366	
733	0.3665	
734	0.367	
735	0.3675	
736	0.368	
737	0.3685	
738	0.369	
739	0.3695	
740	0.37	
741	0.3705	
742	0.371	
743	0.3715	
744	0.372	
745	0.3725	
746	0.373	
747	0.3735	
748	0.374	
749	0.3745	
750	0.375	
751	0.3755	
752	0.376	
753	0.3765	
754	0.377	
755	0.3775	
756	0.378	
757	0.3785	
758	0.379	
759	0.3795	
760	0.38	
761	0.3805	
762	0.381	
763	0.3815	
764	0.382	
765	0.3825	
766	0.383	
767	0.3835	
768	0.384	
769	0.3845	
770	0.385	
771	0.3855	
772	0.386	
773	0.3865	
774	0.387	
775	0.3875	
776	0.388	
777	0.3885	
778	0.389	
779	0.3895	
780	0.39	
781	0.3905	
782	0.391	
783	0.3915	
784	0.392	
785	0.3925	
786	0.393	
787	0.3935	
788	0.394	
789	0.3945	
790	0.395	
791	0.3955	
792	0.396	
793	0.3965	
794	0.397	
795	0.3975	
796	0.398	
797	0.3985	
798	0.399	
799	0.3995	
800	0.4	
801	0.4005	
802	0.401	
803	0.4015	
804	0.402	
805	0.4025	
806	0.403	
807	0.4035	
808	0.404	
809	0.4045	
810	0.405	
811	0.4055	
812	0.406	
813	0.4065	
814	0.407	
815	0.4075	
816	0.408	
817	0.4085	
818	0.409	
819	0.4095	
820	0.41	
821	0.4105	
822	0.411	
823	0.4115	
824	0.412	
825	0.4125	
826	0.413	
827	0.4135	
828	0.414	
829	0.4145	
830	0.415	
831	0.4155	
832	0.416	
833	0.4165	
834	0.417	
835	0.4175	
836	0.418	
837	0.4185	
838	0.419	
839	0.4195	
840	0.42	
841	0.4205	
842	0.421	
843	0.4215	
844	0.422	
845	0.4225	
846	0.423	
847	0.4235	
848	0.424	
849	0.4245	
850	0.425	
851	0.4255	
852	0.426	
853	0.4265	
854	0.427	
855	0.4275	
856	0.428	
857	0.4285	
858	0.429	
859	0.4295	
860	0.43	
861	0.4305	
862	0.431	
863	0.4315	
864	0.432	
865	0.4325	
866	0.433	
867	0.4335	
868	0.434	
869	0.4345	
870	0.435	
871	0.4355	
872	0.436	
873	0.4365	
874	0.437	
875	0.4375	
876	0.438	
877	0.4385	
878	0.439	
879	0.4395	
880	0.44	
881	0.4405	
882	0.441	
883	0.4415	
884	0.442	
885	0.4425	
886	0.443	
887	0.4435	
888	0.444	
889	0.4445	
890	0.445	
891	0.4455	
892	0.446	
893	0.4465	
894	0.447	
895	0.4475	
896	0.448	
897	0.4485	
898	0.449	
899	0.4495	
900	0.45	
901	0.4505	
902	0.451	
903	0.4515	
904	0.452	
905	0.4525	
906	0.453	
907	0.4535	
908	0.454	
909	0.4545	
910	0.455	
911	0.4555	
912	0.456	
913	0.4565	
914	0.457	
915	0.4575	
916	0.458	
917	0.4585	
918	0.459	
919	0.4595	
920	0.46	
921	0.4605	
922	0.461	
923	0.4615	
924	0.462	
925	0.4625	
926	0.463	
927	0.4635	
928	0.464	
929	0.4645	
930	0.465	
931	0.4655	
932	0.466	
933	0.4665	
934	0.467	
935	0.4675	
936	0.468	
937	0.4685	
938	0.469	
939	0.4695	
940	0.47	
941	0.4705	
942	0.471	
943	0.4715	
944	0.472	
945	0.4725	
946	0.473	
947	0.4735	
948	0.474	
949	0.4745	
950	0.475	
951	0.4755	
952	0.476	
953	0.4765	
954	0.477	
955	0.4775	
956	0.478	
957	0.4785	
958	0.479	
959	0.4795	
960	0.48	
961	0.4805	
962	0.481	
963	0.4815	
964	0.482	
965	0.4825	
966	0.483	
967	0.4835	
968	0.484	
969	0.4845	
970	0.485	
971	0.4855	
972	0.486	
973	0.4865	
974	0.487	
975	0.4875	
976	0.488	
977	0.4885	
978	0.489	
979	0.4895	
980	0.49	
981	0.4905	
982	0.491	
983	0.4915	
984	0.492	
985	0.4925	
986	0.493	
987	0.4935	
988	0.494	
989	0.4945	
990	0.495	
991	0.4955	
992	0.496	
993	0.4965	
994	0.497	
995	0.4975	
996	0.498	
997	0.4985	
998	0.499	
999	0.4995	
1000	0.5	
1001	0.5005	
1002	0.501	
1003	0.5015	
1004	0.502	
1005	0.5025	
1006	0.503	
1007	0.5035	
1008	0.504	
1009	0.5045	
1010	0.505	
1011	0.5055	
1012	0.506	
1013	0.5065	
1014	0.507	
1015	0.5075	
1016	0.508	
1017	0.5085	
1018	0.509	
1019	0.5095	
1020	0.51	
1021	0.5105	
1022	0.511	
1023	0.5115	
1024	0.512	
1025	0.5125	
1026	0.513	
1027	0.5135	
1028	0.514	
1029	0.5145	
1030	0.515	
1031	0.5155	
1032	0.516	
1033	0.5165	
1034	0.517	
1035	0.5175	
1036	0.518	
1037	0.5185	
1038	0.519	
1039	0.5195	
1040	0.52	
1041	0.5205	
1042	0.521	
1043	0.5215	
1044	0.522	
1045	0.5225	
1046	0.523	
1047	0.5235	
1048	0.524	
1049	0.5245	
1050	0.525	
1051	0.5255	
1052	0.526	
1053	0.5265	
1054	0.527	
1055	0.5275	
1056	0.528	
1057	0.5285	
1058	0.529	
1059	0.5295	
1060	0.53	
1061	0.5305	
1062	0.531	
1063	0.5315	
1064	0.532	
1065	0.5325	
1066	0.533	
1067	0.5335	
1068	0.534	
1069	0.5345	
1070	0.535	
1071	0.5355	
1072	0.536	
1073	0.5365	
1074	0.537	
1075	0.5375	
1076	0.538	
1077	0.5385	
1078	0.539	
1079	0.5395	
1080	0.54	
1081	0.5405	
1082	0.541	
1083	0.5415	
1084	0.542	
1085	0.5425	
1086	0.543	
1087	0.5435	
1088	0.544	
1089	0.5445	
1090	0.545	
1091	0.5455	
1092	0.546	
1093	0.5465	
1094	0.547	
1095	0.5475	
1096	0.548	
1097	0.5485	
1098	0.549	
1099	0.5495	
1100	0.55	
1101	0.5505	
1102	0.551	
1103	0.5515	
1104	0.552	
1105	0.5525	
1106	0.553	
1107	0.5535	
1108	0.554	
1109	0.5545	
1110	0.555	
1111	0.5555	
1112	0.556	
1113	0.5565	
1114	0.557	
1115	0.5575	
1116	0.558	
1117	0.5585	
1118	0.559	
1119	0.5595	
1120	0.56	
1121	0.5605	
1122	0.561	
1123	0.5615	
1124	0.562	
1125	0.5625	
1126	0.563	
1127	0.5635	
1128	0.564	
1129	0.5645	
1130	0.565	
1131	0.5655	
1132	0.566	
1133	0.5665	
1134	0.567	
1135	0.5675	
1136	0.568	
1137	0.5685	
1138	0.569	
1139	0.5695	
1140	0.57	
1141	0.5705	
1142	0.571	
1143	0.5715	
1144	0.572	
1145	0.5725	
1146	0.573	
1147	0.5735	
1148	0.574	
1149	0.5745	
1150	0.575	
1151	0.5755	
1152	0.576	
1153	0.5765	
1154	0.577	
1155	0.5775	
1156	0.578	
1157	0.5785	
1158	0.579	
1159	0.5795	
1160	0.58	
1161	0.5805	
1162	0.581	
1163	0.5815	
1164	0.582	
1165	0.5825	
1166	0.583	
1167	0.5835	
1168	0.584	
1169	0.5845	
1170	0.585	
1171	0.5855	
1172	0.586	
1173	0.5865	
1174	0.587	
1175	0.5875	
1176	0.588	
1177	0.5885	
1178	0.589	
1179	0.5895	
1180	0.59	
1181	0.5905	
1182	0.591	
1183	0.5915	
1184	0.592	
1185	0.5925	
1186	0.593	
1187	0.5935	
1188	0.594	
1189	0.5945	
1190	0.595	
1191	0.5955	
1192	0.596	
1193	0.5965	
1194	0.597	
