Time	2	Length2	Position	
0	0	0	-0.5	
0.001	0	0	-0.5	
0.002	0	0	-0.5	
0.003	0	0	-0.5	
0.004	0	0	-0.5	
0.005	0	0	-0.5	
0.006	0	0	-0.5	
0.007	0	0	-0.5	
0.008	0	0	-0.5	
0.009000001	0	0	-0.5	
0.01	0	0	-0.5	
0.011	0	0	-0.5	
0.012	0	0	-0.5	
0.013	0	0	-0.5	
0.014	0	0	-0.5	
0.015	0	0	-0.5	
0.016	0	0	-0.5000001	
0.017	0	0	-0.5000001	
0.018	0	0	-0.5000002	
0.019	0	0	-0.5000002	
0.02	0	0	-0.5000003	
0.021	0	0	-0.5000004	
0.022	0	0	-0.5000004	
0.023	0	0	-0.5000005	
0.024	0	0	-0.5000005	
0.025	0	0	-0.5000006	
0.026	0	0	-0.5000007	
0.027	0	0	-0.5000007	
0.028	0	0	-0.5000008	
0.029	0	0	-0.5000008	
0.03	0	0	-0.5000009	
0.031	0	0	-0.500001	
0.032	0	0	-0.500001	
0.033	0	0	-0.5000011	
0.034	0	0	-0.5000011	
0.035	0	0	-0.5000012	
0.036	0	0	-0.5000013	
0.037	0	0	-0.5000013	
0.038	0	0	-0.5000014	
0.039	0	0	-0.5000014	
0.04	0	0	-0.5000015	
0.041	0	0	-0.5000015	
0.042	0	0	-0.5000016	
0.043	0	0	-0.5000017	
0.044	0	0	-0.5000017	
0.045	0	0	-0.5000018	
0.046	0	0	-0.5000019	
0.047	0	0	-0.500002	
0.048	0	0	-0.5000021	
0.049	0	0	-0.5000023	
0.05	0	0	-0.5000024	
0.051	0	0	-0.5000025	
0.052	0	0	-0.5000026	
0.053	0	0	-0.5000027	
0.054	0	0	-0.5000029	
0.055	0	0	-0.500003	
0.056	0	0	-0.5000031	
0.057	0	0	-0.5000032	
0.058	0	0	-0.5000033	
0.059	0	0	-0.5000035	
0.06	0	0	-0.5000036	
0.061	0	0	-0.5000037	
0.062	0	0	-0.5000038	
0.063	0	0	-0.5000039	
0.064	0	0	-0.5000041	
0.06500001	0	0	-0.5000042	
0.066	0	0	-0.5000043	
0.067	0	0	-0.5000044	
0.068	0	0	-0.5000045	
0.06900001	0	0	-0.5000046	
0.07	0	0	-0.5000048	
0.071	0	0	-0.5000049	
0.072	0	0	-0.500005	
0.07300001	0	0	-0.5000051	
0.074	0	0	-0.5000052	
0.075	0	0	-0.5000054	
0.07600001	0	0	-0.5000055	
0.07700001	0	0	-0.5000057	
0.078	0	0	-0.5000059	
0.079	0	0	-0.5000061	
0.08000001	0	0	-0.5000063	
0.081	0	0	-0.5000064	
0.082	0	0	-0.5000066	
0.083	0	0	-0.5000068	
0.08400001	0	0	-0.500007	
0.085	0	0	-0.5000072	
0.086	0	0	-0.5000073	
0.087	0	0	-0.5000075	
0.08800001	0	0	-0.5000077	
0.089	0	0	-0.5000079	
0.09	0	0	-0.500008	
0.09100001	0	0	-0.5000082	
0.09200001	0	0	-0.5000084	
0.093	0	0	-0.5000086	
0.094	0	0	-0.5000088	
0.09500001	0	0	-0.5000089	
0.096	0	0	-0.5000091	
0.097	0	0	-0.5000093	
0.098	0	0	-0.5000095	
0.09900001	0	0	-0.5000097	
0.1	0	0	-0.5000098	
0.101	0	0	-0.50001	
0.102	0	0	-0.5000102	
0.103	0	0	-0.5000104	
0.104	0	0	-0.5000106	
0.105	0	0	-0.5000107	
0.106	0	0	-0.500011	
0.107	0	0	-0.5000112	
0.108	0	0	-0.5000114	
0.109	0	0	-0.5000117	
0.11	0	0	-0.5000119	
0.111	0	0	-0.5000122	
0.112	0	0	-0.5000124	
0.113	0	0	-0.5000126	
0.114	0	0	-0.5000129	
0.115	0	0	-0.5000131	
0.116	0	0	-0.5000134	
0.117	0	0	-0.5000136	
0.118	0	0	-0.5000138	
0.119	0	0	-0.5000141	
0.12	0	0	-0.5000143	
0.121	0	0	-0.5000145	
0.122	0	0	-0.5000148	
0.123	0	0	-0.500015	
0.124	0	0	-0.5000153	
0.125	0	0	-0.5000155	
0.126	0	0	-0.5000157	
0.127	0	0	-0.500016	
0.128	0	0	-0.5000162	
0.129	0	0	-0.5000165	
0.13	0	0	-0.5000167	
0.131	0	0	-0.5000169	
0.132	0	0	-0.5000172	
0.133	0	0	-0.5000174	
0.134	0	0	-0.5000176	
0.135	0	0	-0.5000179	
0.136	0	0	-0.5000182	
0.137	0	0	-0.5000185	
0.138	0	0	-0.5000188	
0.139	0	0	-0.5000191	
0.14	0	0	-0.5000194	
0.141	0	0	-0.5000197	
0.142	0	0	-0.50002	
0.143	0	0	-0.5000203	
0.144	0	0	-0.5000206	
0.145	0	0	-0.5000209	
0.146	0	0	-0.5000212	
0.147	0	0	-0.5000215	
0.148	0	0	-0.5000218	
0.149	0	0	-0.5000221	
0.15	0	0	-0.5000224	
0.151	0	0	-0.5000227	
0.152	0	0	-0.500023	
0.153	0	0	-0.5000233	
0.154	0	0	-0.5000236	
0.155	0	0	-0.5000239	
0.156	0	0	-0.5000242	
0.157	0	0	-0.5000245	
0.158	0	0	-0.5000248	
0.159	0	0	-0.5000251	
0.16	0	0	-0.5000254	
0.161	0	0	-0.5000257	
0.162	0	0	-0.500026	
0.163	0	0	-0.5000263	
