Time	C	A	B	Soma	DistalExcitation	DistalInhibition	ProximalInhibition	
0	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0002	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0004	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0006	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0008	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0009999999	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0012	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0014	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0016	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0018	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.002	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0022	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0024	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0026	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0028	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.003	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0032	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0034	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0036	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0038	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.004	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0042	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0044	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0046	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0048	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.005	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0052	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0054	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0056	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0058	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.006	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0062	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0064	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0066	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0068	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.007	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0072	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0074	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0076	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0078	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.007999999	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0082	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0084	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.008599999	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0088	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.009	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0092	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0094	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0096	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0098	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.01	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0102	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0104	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0106	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0108	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.011	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0112	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0114	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0116	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0118	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.012	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0122	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0124	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0126	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0128	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.013	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0132	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0134	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0136	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0138	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.014	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0142	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0144	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0146	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0148	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.015	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0152	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0154	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0156	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0158	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.016	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0162	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0164	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0166	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0168	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.017	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0172	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0174	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0176	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0178	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.018	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0182	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0184	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0186	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0188	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.019	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0192	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0194	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0196	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0198	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.02	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05882369	-0.06	
0.0202	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05769349	-0.06	
0.0204	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05660762	-0.06	
0.0206	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05556431	-0.06	
0.0208	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05456192	-0.06	
0.021	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05359884	-0.06	
0.0212	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05267351	-0.06	
0.0214	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05178447	-0.06	
0.0216	-0.06	-0.06	-0.06	-0.06	-0.06	-0.05093029	-0.06	
0.0218	-0.06	-0.06	-0.06	-0.06	-0.06	-0.0501096	-0.06	
0.022	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04932109	-0.06	
0.0222	-0.06	-0.06	-0.06	-0.06	-0.06	-0.0485635	-0.06	
0.0224	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04783562	-0.06	
0.0226	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04713627	-0.06	
0.0228	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04646435	-0.06	
0.023	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04581877	-0.06	
0.0232	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04519851	-0.06	
0.0234	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04460257	-0.06	
0.0236	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04403	-0.06	
0.0238	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04347987	-0.06	
0.024	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04295132	-0.06	
0.0242	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04244349	-0.06	
0.0244	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04195558	-0.06	
0.0246	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04148679	-0.06	
0.0248	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04103639	-0.06	
0.025	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04060364	-0.06	
0.0252	-0.06	-0.06	-0.06	-0.06	-0.06	-0.04018787	-0.06	
0.0254	-0.06	-0.06	-0.06	-0.06	-0.06	0	-0.06	
0.0256	-0.0616484	-0.06	-0.06	-0.06	-0.06	-0.0405735	-0.06	
0.0258	-0.06272809	-0.06	-0.06022149	-0.06	-0.06	-0.04122612	-0.06	
0.026	-0.06346198	-0.06011073	-0.06052109	-0.06	-0.06	-0.04176394	-0.06	
0.0262	-0.06397779	-0.06026051	-0.06084361	-0.06001605	-0.06	-0.04220196	-0.06	
0.0264	-0.0643524	-0.06042977	-0.06115805	-0.06005092	-0.06	-0.04255299	-0.06	
0.0266	-0.06463251	-0.06060441	-0.0614505	-0.06010402	-0.06	-0.04282799	-0.06	
0.0268	-0.06484716	-0.06077716	-0.06171564	-0.06017281	-0.06	-0.04303639	-0.06	
0.027	-0.06501486	-0.06094411	-0.06195268	-0.06025419	-0.06	-0.04318634	-0.06	
0.0272	-0.06514779	-0.0611033	-0.06216303	-0.06034502	-0.06	-0.04328493	-0.06	
0.0274	-0.06525418	-0.06125386	-0.06234903	-0.06044247	-0.06	-0.04333832	-0.06	
0.0276	-0.06533979	-0.06139558	-0.06251332	-0.0605441	-0.06	-0.04335192	-0.06	
0.0278	-0.06540877	-0.06152852	-0.06265849	-0.06064785	-0.06	-0.04333045	-0.06	
0.028	-0.0654642	-0.06165296	-0.0627869	-0.06075208	-0.06	-0.0432781	-0.06	
0.0282	-0.06550843	-0.06176927	-0.06290065	-0.06085545	-0.06	-0.04319856	-0.06	
0.0284	-0.0655433	-0.06187782	-0.0630016	-0.06095696	-0.06	-0.04309511	-0.06	
0.0286	-0.06557025	-0.06197903	-0.06309129	-0.06105581	-0.06	-0.04297065	-0.06	
0.0288	-0.06559046	-0.06207329	-0.06317109	-0.06115141	-0.06	-0.04282779	-0.06	
0.029	-0.06560485	-0.06216098	-0.06324214	-0.06124335	-0.06	-0.04266885	-0.06	
0.0292	-0.06561422	-0.06224246	-0.06330543	-0.06133134	-0.06	-0.04249592	-0.06	
0.0294	-0.06561921	-0.0623181	-0.06336179	-0.0614152	-0.06	-0.04231086	-0.06	
0.0296	-0.06562036	-0.0623882	-0.06341194	-0.06149483	-0.06	-0.04211536	-0.06	
0.0298	-0.06561812	-0.06245308	-0.06345651	-0.06157019	-0.06	-0.04191094	-0.06	
0.03	-0.06561287	-0.06251304	-0.06349602	-0.0616413	-0.05882369	-0.04169896	-0.06	
0.0302	-0.06560493	-0.06256834	-0.06353094	-0.06170821	-0.05769349	-0.04148066	-0.06	
0.0304	-0.06559458	-0.06261925	-0.06356166	-0.06177101	-0.05660762	-0.04125717	-0.06	
0.0306	-0.06558204	-0.06266601	-0.06358854	-0.06182981	-0.05556431	-0.04102949	-0.06	
0.0308	-0.06556755	-0.06270884	-0.0636119	-0.06188473	-0.05456192	-0.04079855	-0.06	
0.031	-0.06555126	-0.06274798	-0.063632	-0.06193591	-0.05359884	-0.04056517	-0.06	
0.0312	-0.06553333	-0.06278361	-0.0636491	-0.06198349	-0.05267351	-0.0403301	-0.06	
0.0314	-0.06551389	-0.06281594	-0.0636634	-0.06202761	-0.05178447	-0.04009403	-0.06	
0.0316	-0.06549305	-0.06284515	-0.06367511	-0.06206842	-0.05093029	0	-0.06	
0.0318	-0.06617978	-0.0628714	-0.06368441	-0.06210607	-0.0501096	-0.04078176	-0.06	
0.032	-0.06657718	-0.06289488	-0.0637867	-0.06214071	-0.04932109	-0.04155026	-0.06	
0.0322	-0.06681531	-0.06296333	-0.06391461	-0.06217246	-0.0485635	-0.04218475	-0.06	
0.0324	-0.06696222	-0.06304315	-0.06404505	-0.06220839	-0.04783562	-0.04270342	-0.06	
0.0326	-0.06705522	-0.06312633	-0.06416652	-0.06224938	-0.04713627	-0.04312168	-0.06	
0.0328	-0.06711497	-0.06320755	-0.06427493	-0.062295	-0.04646435	-0.04345261	-0.06	
0.033	-0.06715326	-0.06328456	-0.06436951	-0.06234413	-0.04581877	-0.04370738	-0.06	
0.0332	-0.06717699	-0.06335641	-0.06445099	-0.06239553	-0.04519851	-0.0438956	-0.06	
0.0334	-0.06719036	-0.06342283	-0.06452069	-0.06244802	-0.04460257	-0.04402553	-0.06	
