Time	10ExternalUp	11SynapticUp	12ExternalUp	12FFUp	10FFUp	11FFUp	13SynapticDown	14ExternalDown	10ExternalDown	10FFDown	14FFDown	13FFDown	
0.168	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.17	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.172	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.174	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.176	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.178	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.18	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.182	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.184	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.186	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.188	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.19	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.192	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.194	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.196	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.198	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.2	0	0	0	0	0	0	0	0	0	0	0	0	
0.202	0	0	0	0	0	0	0	0	0	0	0	0	
0.204	0	0	0	0	0	0	0	0	0	0	0	0	
0.206	0	0	0	0	0	0	0	0	0	0	0	0	
0.208	0	0	0	0	0	0	0	0	0	0	0	0	
0.21	0	0	0	0	0	0	0	0	0	0	0	0	
0.212	0	0	0	0	0	0	0	0	0	0	0	0	
0.214	0	0	0	0	0	0	0	0	0	0	0	0	
0.216	0	0	0	0	0	0	0	0	0	0	0	0	
0.218	0	0	0	0	0	0	0	0	0	0	0	0	
0.22	0	0	0	0	0	0	0	0	0	0	0	0	
0.222	0	0	0	0	0	0	0	0	0	0	0	0	
0.224	0	0	0	0	0	0	0	0	0	0	0	0	
0.226	0	0	0	0	0	0	0	0	0	0	0	0	
0.228	0	0	0	0	0	0	0	0	0	0	0	0	
0.23	0	0	0	0	0	0	0	0	0	0	0	0	
0.232	0	0	0	0	0	0	0	0	0	0	0	0	
0.234	0	0	0	0	0	0	0	0	0	0	0	0	
0.236	0	0	0	0	0	0	0	0	0	0	0	0	
0.238	0	0	0	0	0	0	0	0	0	0	0	0	
0.24	0	0	0	0	0	0	0	0	0	0	0	0	
0.242	0	0	0	0	0	0	0	0	0	0	0	0	
0.244	0	0	0	0	0	0	0	0	0	0	0	0	
0.246	0	0	0	0	0	0	0	0	0	0	0	0	
0.248	0	0	0	0	0	0	0	0	0	0	0	0	
0.25	0	0	0	0	0	0	0	0	0	0	0	0	
0.252	0	0	0	0	0	0	0	0	0	0	0	0	
0.254	0	0	0	0	0	0	0	0	0	0	0	0	
0.256	0	0	0	0	0	0	0	0	0	0	0	0	
0.258	0	0	0	0	0	0	0	0	0	0	0	0	
0.26	0	0	0	0	0	0	0	0	0	0	0	0	
0.262	0	0	0	0	0	0	0	0	0	0	0	0	
0.264	0	0	0	0	0	0	0	0	0	0	0	0	
0.266	0	0	0	0	0	0	0	0	0	0	0	0	
0.268	0	0	0	0	0	0	0	0	0	0	0	0	
0.27	0	0	0	0	0	0	0	0	0	0	0	0	
0.272	0	0	0	0	0	0	0	0	0	0	0	0	
0.274	0	0	0	0	0	0	0	0	0	0	0	0	
0.276	0	0	0	0	0	0	0	0	0	0	0	0	
0.278	0	0	0	0	0	0	0	0	0	0	0	0	
0.28	0	0	0	0	0	0	0	0	0	0	0	0	
0.282	0	0	0	0	0	0	0	0	0	0	0	0	
0.284	0	0	0	0	0	0	0	0	0	0	0	0	
0.286	0	0	0	0	0	0	0	0	0	0	0	0	
0.288	0	0	0	0	0	0	0	0	0	0	0	0	
0.29	0	0	0	0	0	0	0	0	0	0	0	0	
0.292	0	0	0	0	0	0	0	0	0	0	0	0	
0.294	0	0	0	0	0	0	0	0	0	0	0	0	
0.296	0	0	0	0	0	0	0	0	0	0	0	0	
0.298	0	0	0	0	0	0	0	0	0	0	0	0	
0.3	2E-09	0	0	0	0	0	0	0	2E-09	0	0	0	
0.302	2E-09	0	0	0	0.03999772	0	0	0	2E-09	0.03999772	0	0	
0.304	2E-09	1.999886E-10	0	0	0.07199817	0.003999772	1.999886E-10	0	2E-09	0.07199817	0	0.003999772	
0.306	2E-09	3.599908E-10	0	0	0.09759854	0.01039963	3.599908E-10	0	2E-09	0.09759854	0	0.01039963	
0.308	2E-09	4.879927E-10	0	0	0.1180788	0.01807956	4.879927E-10	0	2E-09	0.1180788	0	0.01807956	
0.31	2E-09	5.903941E-10	0	0	0.1344631	0.02627153	5.903941E-10	0	2E-09	0.1344631	0	0.02627153	
0.312	2E-09	6.723154E-10	0	0	0.1475705	0.03446354	6.723154E-10	0	2E-09	0.1475705	0	0.03446354	
0.314	2E-09	7.378523E-10	0	0	0.1580563	0.04232787	7.378523E-10	0	2E-09	0.1580563	0	0.04232787	
0.316	2E-09	7.902817E-10	0	0	0.1664451	0.04966794	7.902817E-10	0	2E-09	0.1664451	0	0.04966794	
0.318	2E-09	8.322254E-10	0	0	0.1731561	0.05637886	8.322254E-10	0	2E-09	0.1731561	0	0.05637886	
0.32	2E-09	8.657803E-10	0	0	0.1785249	0.06241869	8.657803E-10	0	2E-09	0.1785249	0	0.06241869	
0.322	2E-09	8.926243E-10	0	0	0.1828199	0.06778744	8.926243E-10	0	2E-09	0.1828199	0	0.06778744	
0.324	2E-09	9.140994E-10	0	0	0.1862559	0.07251194	9.140994E-10	0	2E-09	0.1862559	0	0.07251194	
0.326	2E-09	9.312795E-10	0	0	0.1890047	0.07663514	9.312795E-10	0	2E-09	0.1890047	0	0.07663514	
0.328	2E-09	9.450236E-10	0	0	0.1912038	0.08020859	9.450236E-10	0	2E-09	0.1912038	0	0.08020859	
0.33	2E-09	9.560189E-10	0	0	0.192963	0.08328725	9.560189E-10	0	2E-09	0.192963	0	0.08328725	
0.332	2E-09	9.648151E-10	0	0	0.1943704	0.08592612	9.648151E-10	0	2E-09	0.1943704	0	0.08592612	
0.334	2E-09	9.718522E-10	0	0	0.1954964	0.08817793	9.718522E-10	0	2E-09	0.1954964	0	0.08817793	
0.336	2E-09	9.774818E-10	0	0	0.1963971	0.09009197	9.774818E-10	0	2E-09	0.1963971	0	0.09009197	
0.338	2E-09	9.819853E-10	0	0	0.1971176	0.09171329	9.819853E-10	0	2E-09	0.1971176	0	0.09171329	
0.34	2E-09	9.855882E-10	0	0	0.1976941	0.0930824	9.855882E-10	0	2E-09	0.1976941	0	0.0930824	
0.342	2E-09	9.884706E-10	0	0	0.1981553	0.09423532	9.884706E-10	0	2E-09	0.1981553	0	0.09423532	
0.344	2E-09	9.907765E-10	0	0	0.1985242	0.09520379	9.907765E-10	0	2E-09	0.1985242	0	0.09520379	
0.346	2E-09	9.926211E-10	0	0	0.1988194	0.09601545	9.926211E-10	0	2E-09	0.1988194	0	0.09601545	
0.348	2E-09	9.940968E-10	0	0	0.1990555	0.09669431	9.940968E-10	0	2E-09	0.1990555	0	0.09669431	
0.35	2E-09	9.952775E-10	0	0	0.1992444	0.097261	9.952775E-10	0	2E-09	0.1992444	0	0.097261	
0.352	2E-09	9.96222E-10	0	0	0.1993955	0.09773323	9.96222E-10	0	2E-09	0.1993955	0	0.09773323	
0.354	2E-09	9.969775E-10	0	0	0.1995164	0.09812614	9.969775E-10	0	2E-09	0.1995164	0	0.09812614	
0.356	2E-09	9.97582E-10	0	0	0.1996131	0.09845255	9.97582E-10	0	2E-09	0.1996131	0	0.09845255	
0.358	2E-09	9.980656E-10	0	0	0.1996905	0.09872335	9.980656E-10	0	2E-09	0.1996905	0	0.09872335	
0.36	2E-09	9.984524E-10	0	0	0.1997524	0.09894773	9.984524E-10	0	2E-09	0.1997524	0	0.09894773	
0.362	2E-09	9.98762E-10	0	0	0.1998019	0.09913342	9.98762E-10	0	2E-09	0.1998019	0	0.09913342	
0.364	2E-09	9.990097E-10	0	0	0.1998415	0.09928693	9.990097E-10	0	2E-09	0.1998415	0	0.09928693	
0.366	2E-09	9.992077E-10	0	0	0.1998732	0.0994137	9.992077E-10	0	2E-09	0.1998732	0	0.0994137	
0.368	2E-09	9.993661E-10	0	0	0.1998986	0.09951829	9.993661E-10	0	2E-09	0.1998986	0	0.09951829	
0.37	2E-09	9.994928E-10	0	0	0.1999189	0.09960449	9.994928E-10	0	2E-09	0.1999189	0	0.09960449	
0.372	2E-09	9.995943E-10	0	0	0.1999351	0.09967547	9.995943E-10	0	2E-09	0.1999351	0	0.09967547	
0.374	2E-09	9.996753E-10	0	0	0.1999481	0.09973388	9.996753E-10	0	2E-09	0.1999481	0	0.09973388	
0.376	2E-09	9.997404E-10	0	0	0.1999585	0.09978191	9.997404E-10	0	2E-09	0.1999585	0	0.09978191	
0.378	2E-09	9.997922E-10	0	0	0.1999668	0.09982137	9.997922E-10	0	2E-09	0.1999668	0	0.09982137	
0.38	2E-09	9.998338E-10	0	0	0.1999734	0.09985377	9.998338E-10	0	2E-09	0.1999734	0	0.09985377	
0.382	2E-09	9.998671E-10	0	0	0.1999787	0.09988036	9.998671E-10	0	2E-09	0.1999787	0	0.09988036	
0.384	2E-09	9.998936E-10	0	0	0.199983	0.09990216	9.998936E-10	0	2E-09	0.199983	0	0.09990216	
0.386	2E-09	9.999148E-10	0	0	0.1999864	0.09992003	9.999148E-10	0	2E-09	0.1999864	0	0.09992003	
0.388	2E-09	9.999319E-10	0	0	0.1999891	0.09993465	9.999319E-10	0	2E-09	0.1999891	0	0.09993465	
0.39	2E-09	9.999455E-10	0	0	0.1999913	0.09994663	9.999455E-10	0	2E-09	0.1999913	0	0.09994663	
0.392	2E-09	9.999565E-10	0	0	0.199993	0.09995644	9.999565E-10	0	2E-09	0.199993	0	0.09995644	
0.394	2E-09	9.999651E-10	0	0	0.1999944	0.09996445	9.999651E-10	0	2E-09	0.1999944	0	0.09996445	
0.396	2E-09	9.999721E-10	0	0	0.1999955	0.099971	9.999721E-10	0	2E-09	0.1999955	0	0.099971	
0.398	2E-09	9.999775E-10	0	0	0.1999964	0.09997635	9.999775E-10	0	2E-09	0.1999964	0	0.09997635	
0.4	0	9.999821E-10	0	0	0.1999971	0.09998072	9.999821E-10	0	0	0.1999971	0	0.09998072	
0.402	0	9.999856E-10	0	0	0.1599977	0.09998429	9.999856E-10	0	0	0.1599977	0	0.09998429	
0.404	0	7.999885E-10	0	0	0.1279982	0.0959872	7.999885E-10	0	0	0.1279982	0	0.0959872	
0.406	0	6.399908E-10	0	0	0.1023985	0.08958957	6.399908E-10	0	0	0.1023985	0	0.08958957	
0.408	0	5.119926E-10	0	0	0.08191882	0.0819115	5.119926E-10	0	0	0.08191882	0	0.0819115	
0.41	0	4.095941E-10	0	0	0.06553505	0.07372109	4.095941E-10	0	0	0.06553505	0	0.07372109	
0.412	0	3.276753E-10	0	0	0.05242804	0.06553037	3.276753E-10	0	0	0.05242804	0	0.06553037	
0.414	0	2.621402E-10	0	0	0.04194244	0.0576671	2.621402E-10	0	0	0.04194244	0	0.0576671	
0.416	0	2.097122E-10	0	0	0.03355395	0.05032793	2.097122E-10	0	0	0.03355395	0	0.05032793	
0.418	0	1.677698E-10	0	0	0.02684316	0.04361774	1.677698E-10	0	0	0.02684316	0	0.04361774	
0.42	0	1.342158E-10	0	0	0.02147453	0.0375785	1.342158E-10	0	0	0.02147453	0	0.0375785	
0.422	0	1.073726E-10	0	0	0.01717962	0.03221026	1.073726E-10	0	0	0.01717962	0	0.03221026	
0.424	0	8.589811E-11	0	0	0.0137437	0.02748617	8.589811E-11	0	0	0.0137437	0	0.02748617	
0.426	0	6.871848E-11	0	0	0.01099496	0.0233633	6.871848E-11	0	0	0.01099496	0	0.0233633	
0.428	0	5.497479E-11	0	0	0.008795965	0.01979014	5.497479E-11	0	0	0.008795965	0	0.01979014	
0.43	0	4.397983E-11	0	0	0.007036773	0.01671171	4.397983E-11	0	0	0.007036773	0	0.01671171	
0.432	0	3.518386E-11	0	0	0.005629417	0.01407304	3.518386E-11	0	0	0.005629417	0	0.01407304	
0.434	0	2.814709E-11	0	0	0.004503534	0.01182138	2.814709E-11	0	0	0.004503534	0	0.01182138	
0.436	0	2.251767E-11	0	0	0.003602827	0.009907454	2.251767E-11	0	0	0.003602827	0	0.009907454	
0.438	0	1.801414E-11	0	0	0.002882262	0.008286246	1.801414E-11	0	0	0.002882262	0	0.008286246	
0.44	0	1.441131E-11	0	0	0.002305809	0.006917222	1.441131E-11	0	0	0.002305809	0	0.006917222	
0.442	0	1.152905E-11	0	0	0.001844647	0.005764359	1.152905E-11	0	0	0.001844647	0	0.005764359	
0.444	0	9.223237E-12	0	0	0.001475718	0.004795952	9.223237E-12	0	0	0.001475718	0	0.004795952	
0.446	0	7.378589E-12	0	0	0.001180574	0.003984333	7.378589E-12	0	0	0.001180574	0	0.003984333	
0.448	0	5.902872E-12	0	0	0.0009444595	0.003305524	5.902872E-12	0	0	0.0009444595	0	0.003305524	
0.45	0	4.722297E-12	0	0	0.0007555676	0.002738865	4.722297E-12	0	0	0.0007555676	0	0.002738865	
0.452	0	3.777838E-12	0	0	0.0006044541	0.002266648	3.777838E-12	0	0	0.0006044541	0	0.002266648	
0.454	0	3.02227E-12	0	0	0.0004835633	0.001873764	3.02227E-12	0	0	0.0004835633	0	0.001873764	
0.456	0	2.417816E-12	0	0	0.0003868506	0.001547368	2.417816E-12	0	0	0.0003868506	0	0.001547368	
0.458	0	1.934253E-12	0	0	0.0003094805	0.001276579	1.934253E-12	0	0	0.0003094805	0	0.001276579	
0.46	0	1.547402E-12	0	0	0.0002475844	0.001052212	1.547402E-12	0	0	0.0002475844	0	0.001052212	
0.462	0	1.237922E-12	0	0	0.0001980675	0.0008665276	1.237922E-12	0	0	0.0001980675	0	0.0008665276	
0.464	0	9.903375E-13	0	0	0.000158454	0.0007130288	9.903375E-13	0	0	0.000158454	0	0.0007130288	
0.466	0	7.922699E-13	0	0	0.0001267632	0.0005862684	7.922699E-13	0	0	0.0001267632	0	0.0005862684	
0.468	0	6.338159E-13	0	0	0.0001014106	0.0004816911	6.338159E-13	0	0	0.0001014106	0	0.0004816911	
0.47	0	5.070527E-13	0	0	8.112844E-05	0.0003954939	5.070527E-13	0	0	8.112844E-05	0	0.0003954939	
0.472	0	4.056422E-13	0	0	6.490275E-05	0.000324508	4.056422E-13	0	0	6.490275E-05	0	0.000324508	
0.474	0	3.245137E-13	0	0	5.19222E-05	0.0002660966	3.245137E-13	0	0	5.19222E-05	0	0.0002660966	
0.476	0	2.59611E-13	0	0	4.153776E-05	0.0002180695	2.59611E-13	0	0	4.153776E-05	0	0.0002180695	
0.478	0	2.076888E-13	0	0	3.323021E-05	0.0001786094	2.076888E-13	0	0	3.323021E-05	0	0.0001786094	
0.48	0	1.66151E-13	0	0	2.658417E-05	0.0001462105	1.66151E-13	0	0	2.658417E-05	0	0.0001462105	
0.482	0	1.329208E-13	0	0	2.126733E-05	0.0001196269	1.329208E-13	0	0	2.126733E-05	0	0.0001196269	
0.484	0	1.063367E-13	0	0	1.701387E-05	9.782822E-05	1.063367E-13	0	0	1.701387E-05	0	9.782822E-05	
0.486	0	8.506933E-14	0	0	1.361109E-05	7.996395E-05	8.506933E-14	0	0	1.361109E-05	0	7.996395E-05	
0.488	0	6.805547E-14	0	0	1.088887E-05	6.533227E-05	6.805547E-14	0	0	1.088887E-05	0	6.533227E-05	
0.49	0	5.444437E-14	0	0	8.711099E-06	5.335471E-05	5.444437E-14	0	0	8.711099E-06	0	5.335471E-05	
0.492	0	4.35555E-14	0	0	6.968879E-06	4.355487E-05	4.35555E-14	0	0	6.968879E-06	0	4.355487E-05	
0.494	0	3.48444E-14	0	0	5.575103E-06	3.554079E-05	3.48444E-14	0	0	5.575103E-06	0	3.554079E-05	
0.496	0	2.787551E-14	0	0	4.460082E-06	2.899014E-05	2.787551E-14	0	0	4.460082E-06	0	2.899014E-05	
0.498	0	2.230041E-14	0	0	3.568066E-06	2.363812E-05	2.230041E-14	0	0	3.568066E-06	0	2.363812E-05	
0.5	4E-09	1.784033E-14	0	0	2.854453E-06	1.92673E-05	1.784033E-14	0	4E-09	2.854453E-06	0	1.92673E-05	
0.502	4E-09	1.427226E-14	0	0	0.08000229	1.569929E-05	1.427226E-14	0	4E-09	0.08000229	0	1.569929E-05	
0.504	4E-09	4.000114E-10	0	0	0.1440018	0.008012788	4.000114E-10	0	4E-09	0.1440018	0	0.008012788	
0.506	4E-09	7.200091E-10	0	0	0.1952015	0.02081041	7.200091E-10	0	4E-09	0.1952015	0	0.02081041	
0.508	4E-09	9.760073E-10	0	0	0.2361612	0.03616847	9.760073E-10	0	4E-09	0.2361612	0	0.03616847	
0.5100001	4E-09	1.180806E-09	0	0	0.2689289	0.0525509	1.180806E-09	0	4E-09	0.2689289	0	0.0525509	
0.512	4E-09	1.344645E-09	0	0	0.2951432	0.06893361	1.344645E-09	0	4E-09	0.2951432	0	0.06893361	
0.514	4E-09	1.475716E-09	0	0	0.3161145	0.08466121	1.475716E-09	0	4E-09	0.3161145	0	0.08466121	
0.516	4E-09	1.580572E-09	0	0	0.3328916	0.09934042	1.580572E-09	0	4E-09	0.3328916	0	0.09934042	
0.518	4E-09	1.664458E-09	0	0	0.3463133	0.1127615	1.664458E-09	0	4E-09	0.3463133	0	0.1127615	
0.52	4E-09	1.731566E-09	0	0	0.3570506	0.1248405	1.731566E-09	0	4E-09	0.3570506	0	0.1248405	
0.522	4E-09	1.785253E-09	0	0	0.3656405	0.1355775	1.785253E-09	0	4E-09	0.3656405	0	0.1355775	
0.524	4E-09	1.828202E-09	0	0	0.3725124	0.145026	1.828202E-09	0	4E-09	0.3725124	0	0.145026	
0.526	4E-09	1.862562E-09	0	0	0.3780099	0.1532721	1.862562E-09	0	4E-09	0.3780099	0	0.1532721	
0.528	4E-09	1.89005E-09	0	0	0.3824079	0.1604187	1.89005E-09	0	4E-09	0.3824079	0	0.1604187	
0.53	4E-09	1.912039E-09	0	0	0.3859263	0.1665757	1.912039E-09	0	4E-09	0.3859263	0	0.1665757	
0.532	4E-09	1.929632E-09	0	0	0.388741	0.1718532	1.929632E-09	0	4E-09	0.388741	0	0.1718532	
0.534	4E-09	1.943705E-09	0	0	0.3909928	0.1763567	1.943705E-09	0	4E-09	0.3909928	0	0.1763567	
0.536	4E-09	1.954964E-09	0	0	0.3927943	0.1801846	1.954964E-09	0	4E-09	0.3927943	0	0.1801846	
0.538	4E-09	1.963971E-09	0	0	0.3942354	0.1834271	1.963971E-09	0	4E-09	0.3942354	0	0.1834271	
0.54	4E-09	1.971177E-09	0	0	0.3953883	0.1861652	1.971177E-09	0	4E-09	0.3953883	0	0.1861652	
0.5420001	4E-09	1.976941E-09	0	0	0.3963107	0.188471	1.976941E-09	0	4E-09	0.3963107	0	0.188471	
0.544	4E-09	1.981553E-09	0	0	0.3970485	0.1904079	1.981553E-09	0	4E-09	0.3970485	0	0.1904079	
0.546	4E-09	1.985243E-09	0	0	0.3976388	0.1920312	1.985243E-09	0	4E-09	0.3976388	0	0.1920312	
0.548	4E-09	1.988194E-09	0	0	0.398111	0.1933888	1.988194E-09	0	4E-09	0.398111	0	0.1933888	
0.55	4E-09	1.990555E-09	1E-08	0	0.3984888	0.1945222	1.990555E-09	1E-08	4E-09	0.3984888	0	0.1945222	
0.552	4E-09	1.992444E-09	1E-08	0.2	0.3987911	0.1954666	1.992444E-09	1E-08	4E-09	0.3987911	0.2	0.1954666	
0.554	4E-09	2.791538E-09	1E-08	0.36	0.3990328	0.212204	1.424254E-09	1E-08	4E-09	0.3990328	0.36	0.1848584	
0.5560001	4E-09	3.431682E-09	1E-08	0.488	0.3992262	0.2383969	1.159979E-09	1E-08	4E-09	0.3992262	0.488	0.1710863	
0.558	4E-09	3.944356E-09	1E-08	0.5904	0.399381	0.2696046	1.010188E-09	1E-08	4E-09	0.399381	0.5904	0.1570728	
0.56	4E-09	4.35485E-09	1E-08	0.67232	0.3995048	0.3027807	9.156754E-10	1E-08	4E-09	0.3995048	0.67232	0.1439717	
0.562	4E-09	4.683474E-09	1E-08	0.737856	0.3996038	0.335894	8.519533E-10	1E-08	4E-09	0.3996038	0.737856	0.1322164	
0.564	4E-09	4.94652E-09	1E-08	0.7902848	0.3996831	0.3676456	8.070484E-10	1E-08	4E-09	0.3996831	0.7902848	0.1219141	
0.566	4E-09	5.15705E-09	1E-08	0.8322278	0.3997464	0.3972575	7.744086E-10	1E-08	4E-09	0.3997464	0.8322278	0.1130195	
0.568	4E-09	5.325533E-09	1E-08	0.8657823	0.3997971	0.4243167	7.501466E-10	1E-08	4E-09	0.3997971	0.8657823	0.1054185	
0.5700001	4E-09	5.460358E-09	1E-08	0.8926258	0.3998377	0.4486605	7.318098E-10	1E-08	4E-09	0.3998377	0.8926258	0.09897099	
0.572	4E-09	5.568244E-09	1E-08	0.9141006	0.3998702	0.4702933	7.177767E-10	1E-08	4E-09	0.3998702	0.9141006	0.09353234	
0.574	4E-09	5.654567E-09	1E-08	0.9312805	0.3998961	0.489326	7.069337E-10	1E-08	4E-09	0.3998961	0.9312805	0.08896454	
0.576	4E-09	5.723636E-09	1E-08	0.9450244	0.3999169	0.5059335	6.984937E-10	1E-08	4E-09	0.3999169	0.9450244	0.08514151	
0.578	4E-09	5.778897E-09	1E-08	0.9560195	0.3999335	0.5203248	6.91886E-10	1E-08	4E-09	0.3999335	0.9560195	0.08195093	
0.58	4E-09	5.82311E-09	1E-08	0.9648156	0.3999468	0.532722	6.866898E-10	1E-08	4E-09	0.3999468	0.9648156	0.07929453	
0.582	4E-09	5.858484E-09	1E-08	0.9718525	0.3999574	0.5433472	6.82589E-10	1E-08	4E-09	0.3999574	0.9718525	0.07708741	
0.5840001	4E-09	5.886784E-09	1E-08	0.977482	0.3999659	0.5524135	6.793436E-10	1E-08	4E-09	0.3999659	0.977482	0.07525679	
